"upc","upc_ver_uc","upc_descr","product_module_code","product_module_descr","product_group_code","product_group_descr","department_code","department_descr","brand_code_uc","brand_descr","multi","size1_code_uc","size1_amount","size1_units","dataset_found_uc","size1_change_flag_uc"
2410580805,1,G&P CHK DRUMSTICK F,3561,FRESH MEAT,3501,FRESH MEA,5,PACKAGED MEAT,561336,GOLD'N PLUMP,1,33802,22,OZ,ALL,0
2410580905,1,G&P CHK THG F,3561,FRESH MEAT,3501,FRESH MEA,5,PACKAGED MEAT,561336,GOLD'N PLUMP,1,33802,22,OZ,ALL,0
2410580405,1,G&P CHK CUT UP F,3561,FRESH MEAT,3501,FRESH MEA,5,PACKAGED MEAT,561336,GOLD'N PLUMP,1,35106,56,OZ,ALL,0
2410559205,1,JUST BARE CHK THG B/S F,3561,FRESH MEAT,3501,FRESH MEA,5,PACKAGED MEAT,578381,JUST BARE,1,33668,20,OZ,ALL,0
2410559305,1,JUST BARE CHK DRUMSTICK F,3561,FRESH MEAT,3501,FRESH MEA,5,PACKAGED MEAT,578381,JUST BARE,1,33668,20,OZ,ALL,0
2410561505,1,G&P CHK BST SPT B/S 98%FF,3561,FRESH MEAT,3501,FRESH MEA,5,PACKAGED MEAT,561336,GOLD'N PLUMP,1,34913,48,OZ,ALL,0
2410560505,1,G&P CHK WH F,3561,FRESH MEAT,3501,FRESH MEA,5,PACKAGED MEAT,561336,GOLD'N PLUMP,1,35152,58.4,OZ,HMS,0
2410581205,1,G&P CHK GIZZARD&HEART WH,3561,FRESH MEAT,3501,FRESH MEA,5,PACKAGED MEAT,561336,GOLD'N PLUMP,1,33270,15,OZ,ALL,0
2410578015,1,G&P CHK BST TNDR B/S F,3561,FRESH MEAT,3501,FRESH MEA,5,PACKAGED MEAT,561336,GOLD'N PLUMP,1,33179,14,OZ,ALL,0
2410578315,1,G&P CHK BST STP F,3561,FRESH MEAT,3501,FRESH MEA,5,PACKAGED MEAT,561336,GOLD'N PLUMP,1,33179,14,OZ,ALL,0
